state_fips,state_abbr,state_name,year,P01,P01_status,P02,P02_status,P03,P03_status,P04,P04_status,P05,P05_status,P06,P06_status,P07,P07_status,P08,P08_status,P09,P09_status,P10,P10_status,P11,P11_status,P12,P12_status,P13,P13_status,P14,P14_status,P01_P02_COMBINED,P01_P02_COMBINED_status
01,AL,Alabama,2000,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,MISSING,,MISSING,,MISSING,1.954326572664629,OBSERVED,,MISSING,,MISSING,,PENDING_EXECUTION,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,PENDING_EXECUTION
01,AL,Alabama,2001,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,MISSING,,MISSING,,MISSING,2.0876822049433774,OBSERVED,,MISSING,,MISSING,,PENDING_EXECUTION,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,PENDING_EXECUTION
01,AL,Alabama,2002,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,MISSING,,MISSING,,MISSING,2.2030812334308534,OBSERVED,,MISSING,,MISSING,,PENDING_EXECUTION,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,PENDING_EXECUTION
01,AL,Alabama,2003,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,MISSING,,MISSING,,MISSING,2.4305588708848314,OBSERVED,,MISSING,,MISSING,,PENDING_EXECUTION,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,PENDING_EXECUTION
01,AL,Alabama,2004,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,MISSING,57.11,OBSERVED,,MISSING,2.54594790374794,OBSERVED,,MISSING,,MISSING,,PENDING_EXECUTION,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,PENDING_EXECUTION
01,AL,Alabama,2005,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,MISSING,,MISSING,,MISSING,2.588731904315392,OBSERVED,,MISSING,,MISSING,,PENDING_EXECUTION,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,PENDING_EXECUTION
01,AL,Alabama,2006,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,MISSING,,MISSING,,MISSING,2.6392417683287097,OBSERVED,,MISSING,,MISSING,,PENDING_EXECUTION,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,PENDING_EXECUTION
01,AL,Alabama,2007,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,MISSING,,MISSING,,MISSING,2.755925732530966,OBSERVED,,MISSING,,MISSING,,PENDING_EXECUTION,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,PENDING_EXECUTION
01,AL,Alabama,2008,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,MISSING,60.94,OBSERVED,,MISSING,2.8763051041010077,OBSERVED,,MISSING,,MISSING,,PENDING_EXECUTION,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,PENDING_EXECUTION
01,AL,Alabama,2009,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,PENDING_EXECUTION,,MISSING,,MISSING,,MISSING,3.0860007003033667,OBSERVED,,MISSING,,MISSING,,PENDING_EXECUTION,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,STRUCTURAL_MISSING,,PENDING_EXECUTION
