state,year,S_HAWES_COMPTON_socap_ma,S_CEV_formal_volunteering,S_CEV_organizational_membership,S_CEV_charitable_giving,S_CEV_informal_helping,S_CEV_talking_with_friends_and_family,S_CEV_talking_with_neighbors,S_CEV_learning_about_issues,S_CEV_discussing_issues_with_friends_and_family,S_CEV_discussing_issues_with_neighbors,S_CEV_posting_views_online,S_CEV_voting_in_local_elections,S_CEV_contacting_public_officials,S_CEV_donating_to_a_political_cause,S_CEV_attending_public_meetings,S_CEV_taking_action_with_neighbors,S_CEV_buycotting_or_boycotting,S_CEV_employer_promotes_volunteering,S_source_hawes_compton,S_source_cev,S_observed_any,S_series_note
Alaska,2023,,0.3360162,0.2834552,0.4881667,0.6075747,0.9763235,0.6897801,0.7850072,0.6588181,0.309768,0.1871216,0.6401849,0.1393779,0.0885359,0.1261431,0.2785641,0.2265396,0.3459615,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Arizona,2000,0.08363874,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2001,-0.006370814,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2002,-0.16865283,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2003,-0.08039311,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2004,-0.44193345,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2005,-0.2515623,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2006,-0.48514998,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2007,-0.33415607,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2008,-0.22186242,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2009,0.30606547,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2010,0.3625766,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arizona,2011,,,,,,,,,,,,,,,,,,,0,0,0,
Arizona,2012,,,,,,,,,,,,,,,,,,,0,0,0,
Arizona,2013,,,,,,,,,,,,,,,,,,,0,0,0,
Arizona,2014,,,,,,,,,,,,,,,,,,,0,0,0,
Arizona,2015,,,,,,,,,,,,,,,,,,,0,0,0,
Arizona,2016,,,,,,,,,,,,,,,,,,,0,0,0,
Arizona,2017,,0.30037335,0.25365473,0.51994809,0.47172193,0.97208314,0.64905807,0.848776,0.6981574,0.2496545,0.2538105,0.5279256,0.1134499,0.0737406,0.0656714,0.1560887,0.1587297,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Arizona,2018,,,,,,,,,,,,,,,,,,,0,0,0,
Arizona,2019,,0.26187585,0.24043848,0.46569915,0.46904238,0.98152224,0.66310131,0.84793223,0.68208723,0.22278565,0.21502534,0.50964866,0.07862534,0.0670586,0.08724856,0.17470646,0.17413293,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Arizona,2020,,,,,,,,,,,,,,,,,,,0,0,0,
Arizona,2021,,0.2345181,0.2289331,0.48510914,0.465799,0.98007615,0.6477308,0.87769866,0.68791092,0.25606871,0.18686125,0.5899102,0.08947653,0.08175834,0.0583371,0.15644343,0.19301261,0.40522914,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Arizona,2022,,,,,,,,,,,,,,,,,,,0,0,0,
Arizona,2023,,0.2998256,0.2315749,0.4934512,0.5238702,0.9537827,0.6733648,0.7727563,0.6291738,0.2369221,0.1851728,0.5541019,0.0786708,0.0940182,0.0791832,0.2026567,0.205149,0.3387186,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Arkansas,2000,-0.26459432,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2001,-0.5014189,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2002,-0.4869876,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2003,-0.90440214,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2004,-1.0255421,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2005,-1.2284127,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2006,-1.3362135,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2007,-1.2038096,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2008,-1.2004324,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2009,-0.9078328,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2010,-0.91477305,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Arkansas,2011,,,,,,,,,,,,,,,,,,,0,0,0,
Arkansas,2012,,,,,,,,,,,,,,,,,,,0,0,0,
Arkansas,2013,,,,,,,,,,,,,,,,,,,0,0,0,
Arkansas,2014,,,,,,,,,,,,,,,,,,,0,0,0,
Arkansas,2015,,,,,,,,,,,,,,,,,,,0,0,0,
Arkansas,2016,,,,,,,,,,,,,,,,,,,0,0,0,
Arkansas,2017,,0.29984052,0.28623815,0.48931495,0.49849246,0.95975795,0.71723215,0.8764308,0.7055417,0.3004844,0.2364537,0.4985995,0.1317669,0.0614148,0.0897603,0.1697831,0.1371973,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Arkansas,2018,,,,,,,,,,,,,,,,,,,0,0,0,
Arkansas,2019,,0.29722904,0.29938214,0.54344122,0.49767956,0.98365129,0.6749164,0.83575056,0.66401405,0.26148114,0.19445716,0.47891564,0.10272925,0.07751344,0.11578134,0.19557914,0.14162397,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Arkansas,2020,,,,,,,,,,,,,,,,,,,0,0,0,
Arkansas,2021,,0.20878917,0.23134178,0.52439926,0.50704396,0.98348379,0.64969574,0.84187983,0.68718481,0.26805536,0.22213097,0.45516318,0.09579535,0.06026305,0.06849847,0.14412957,0.16648727,0.36033154,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Arkansas,2022,,,,,,,,,,,,,,,,,,,0,0,0,
Arkansas,2023,,0.2822923,0.2575347,0.4646506,0.5203446,0.9859899,0.6753675,0.8129188,0.6492193,0.2549284,0.1532157,0.4496889,0.0882596,0.0553037,0.0704369,0.1702168,0.1653948,0.4225135,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
California,2000,-0.7051041,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2001,-0.8219869,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2002,-0.90958804,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2003,-0.79571307,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2004,-0.88797367,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2005,-0.70925814,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2006,-0.73556983,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2007,-0.6544801,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2008,-0.4237399,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2009,-0.25589922,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2010,-0.17324015,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
California,2011,,,,,,,,,,,,,,,,,,,0,0,0,
California,2012,,,,,,,,,,,,,,,,,,,0,0,0,
California,2013,,,,,,,,,,,,,,,,,,,0,0,0,
California,2014,,,,,,,,,,,,,,,,,,,0,0,0,
California,2015,,,,,,,,,,,,,,,,,,,0,0,0,
California,2016,,,,,,,,,,,,,,,,,,,0,0,0,
California,2017,,0.25442266,0.22452001,0.46954236,0.46153806,0.97111106,0.69000713,0.8383771,0.6778666,0.2823289,0.231096,0.4865851,0.091698,0.0891062,0.1045767,0.1786877,0.1371167,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
California,2018,,,,,,,,,,,,,,,,,,,0,0,0,
California,2019,,0.24928005,0.23009966,0.44058743,0.45668061,0.95229425,0.6496281,0.79482072,0.66132711,0.26770813,0.18681928,0.4889928,0.07783975,0.08640517,0.09870118,0.17789398,0.14539593,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
California,2020,,,,,,,,,,,,,,,,,,,0,0,0,
California,2021,,0.18313015,0.18326669,0.3903199,0.46076255,0.94947049,0.64014094,0.80710778,0.65495312,0.27168384,0.2278391,0.58413976,0.07704098,0.10083366,0.08185274,0.15197121,0.15640682,0.28999849,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
California,2022,,,,,,,,,,,,,,,,,,,0,0,0,
California,2023,,0.2407034,0.2112691,0.4200826,0.5082352,0.9620524,0.6699674,0.7855844,0.6544725,0.2700548,0.1902811,0.4909708,0.073048,0.0770777,0.0803877,0.1801377,0.1705692,0.3412228,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Colorado,2000,0.83338803,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2001,0.19755779,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2002,0.27905276,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2003,0.23778997,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2004,0.38651258,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2005,0.5823415,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2006,0.40015948,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2007,0.2884037,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2008,0.13212693,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2009,0.30512714,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2010,0.2877293,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Colorado,2011,,,,,,,,,,,,,,,,,,,0,0,0,
Colorado,2012,,,,,,,,,,,,,,,,,,,0,0,0,
Colorado,2013,,,,,,,,,,,,,,,,,,,0,0,0,
Colorado,2014,,,,,,,,,,,,,,,,,,,0,0,0,
Colorado,2015,,,,,,,,,,,,,,,,,,,0,0,0,
Colorado,2016,,,,,,,,,,,,,,,,,,,0,0,0,
Colorado,2017,,0.3240578,0.25560567,0.55476944,0.6125592,0.98438889,0.76006352,0.8968322,0.7681131,0.3418025,0.2068994,0.6019641,0.1425611,0.1269956,0.1111703,0.2127758,0.1544031,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Colorado,2018,,,,,,,,,,,,,,,,,,,0,0,0,
Colorado,2019,,0.42245179,0.33363695,0.64981965,0.63577546,0.99416952,0.80091454,0.91983486,0.81318641,0.34902919,0.22987397,0.65852219,0.11410176,0.14217428,0.14461278,0.25315234,0.23671118,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Colorado,2020,,,,,,,,,,,,,,,,,,,0,0,0,
Colorado,2021,,0.26173744,0.27358516,0.55509337,0.58861128,0.96428699,0.70658837,0.83334761,0.73644084,0.36292484,0.23641782,0.7197678,0.12905754,0.10709976,0.12248507,0.20733321,0.26631574,0.32754717,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Colorado,2022,,,,,,,,,,,,,,,,,,,0,0,0,
Colorado,2023,,0.3465381,0.3229072,0.6199477,0.6741747,0.9882965,0.8047994,0.8212721,0.7873104,0.3786903,0.2516231,0.6664218,0.1005117,0.1514408,0.1137726,0.2219281,0.2413301,0.4778262,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Connecticut,2000,0.97483945,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2001,0.8133112,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2002,0.6485653,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2003,0.32070857,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2004,0.2726983,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2005,0.30153948,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2006,0.31096518,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2007,0.46931282,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2008,0.55253386,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2009,0.66602135,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2010,0.6805474,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Connecticut,2011,,,,,,,,,,,,,,,,,,,0,0,0,
Connecticut,2012,,,,,,,,,,,,,,,,,,,0,0,0,
Connecticut,2013,,,,,,,,,,,,,,,,,,,0,0,0,
Connecticut,2014,,,,,,,,,,,,,,,,,,,0,0,0,
Connecticut,2015,,,,,,,,,,,,,,,,,,,0,0,0,
Connecticut,2016,,,,,,,,,,,,,,,,,,,0,0,0,
Connecticut,2017,,0.31751188,0.26287278,0.53023674,0.47603668,0.98024833,0.73339913,0.8359991,0.7169171,0.3671092,0.2279267,0.5135213,0.1216133,0.0898126,0.117955,0.1805798,0.1491175,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Connecticut,2018,,,,,,,,,,,,,,,,,,,0,0,0,
Connecticut,2019,,0.31406719,0.32618442,0.54604913,0.50470304,0.9911498,0.79910486,0.84889218,0.67295365,0.36081032,0.17179906,0.53363767,0.12743739,0.09055376,0.13270982,0.24175871,0.16165124,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Connecticut,2020,,,,,,,,,,,,,,,,,,,0,0,0,
Connecticut,2021,,0.28805603,0.223919,0.61493533,0.50198316,0.9750259,0.70679212,0.8947517,0.78163664,0.30186048,0.19754463,0.56916429,0.10073433,0.13472326,0.09701527,0.20210198,0.2015195,0.40698291,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Connecticut,2022,,,,,,,,,,,,,,,,,,,0,0,0,
Connecticut,2023,,0.3737887,0.3322204,0.5859021,0.5246509,0.9873265,0.7368222,0.8520027,0.7635678,0.3129978,0.1175291,0.5397179,0.1183532,0.0734266,0.1155324,0.1715302,0.2051042,0.4232728,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Delaware,2000,0.29608452,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2001,0.019847061,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2002,-0.0428824,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2003,0.07459678,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2004,0.24790098,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2005,0.41663507,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2006,0.24994844,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2007,0.28733307,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2008,0.27723685,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2009,0.44806406,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2010,0.45570484,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Delaware,2011,,,,,,,,,,,,,,,,,,,0,0,0,
Delaware,2012,,,,,,,,,,,,,,,,,,,0,0,0,
Delaware,2013,,,,,,,,,,,,,,,,,,,0,0,0,
Delaware,2014,,,,,,,,,,,,,,,,,,,0,0,0,
Delaware,2015,,,,,,,,,,,,,,,,,,,0,0,0,
Delaware,2016,,,,,,,,,,,,,,,,,,,0,0,0,
Delaware,2017,,0.31813208,0.28560473,0.61459745,0.57792029,0.94124759,0.80054359,0.8700636,0.6972445,0.3430826,0.2182472,0.5317285,0.1138995,0.1240352,0.122794,0.2436262,0.1116373,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Delaware,2018,,,,,,,,,,,,,,,,,,,0,0,0,
Delaware,2019,,0.3066739,0.3227496,0.55589455,0.65761861,0.96694277,0.72650631,0.90574445,0.72730064,0.33510663,0.21410151,0.58222979,0.10917238,0.07692649,0.10407392,0.27666039,0.16997186,,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Delaware,2020,,,,,,,,,,,,,,,,,,,0,0,0,
Delaware,2021,,0.29839872,0.3091356,0.49295023,0.63933436,0.94610634,0.78105361,0.85221917,0.72205519,0.34813473,0.29746954,0.40308832,0.10202998,0.07500617,0.08836163,0.23392235,0.16115084,0.43207754,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Delaware,2022,,,,,,,,,,,,,,,,,,,0,0,0,
Delaware,2023,,0.3196905,0.2990403,0.4822581,0.6477919,0.9676495,0.7633035,0.8362169,0.6793668,0.3449855,0.2372168,0.4630148,0.0899787,0.0740478,0.0893401,0.2199921,0.1674544,0.4208777,0,1,1,CPS CEV observed state rates; separate modern indicators; not spliced to Hawes index
Florida,2000,-0.7089519,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Florida,2001,-0.82117486,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Florida,2002,-0.8391341,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Florida,2003,-0.8170245,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Florida,2004,-0.87926644,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Florida,2005,-1.1146891,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Florida,2006,-1.1144876,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Florida,2007,-0.88520104,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Florida,2008,-0.52069783,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
Florida,2009,-0.09925018,,,,,,,,,,,,,,,,,,1,0,1,Hawes/Compton 3-year moving-average social-capital index; contiguous 48 states
