state_abv,state,year,real_gdp_millions_chained_2017_dollars,manufacturing_va_millions_current_dollars,all_industry_gdp_millions_current_dollars,manufacturing_va_share_pct
FL,Florida,2000,693837.3,31337.9,490094.4,6.39425792
FL,Florida,2001,714638.0,30197.3,519140.7,5.81678531
FL,Florida,2002,746252.8,30939.3,553359.9,5.59117132
FL,Florida,2003,781834.2,31370.3,590284.8,5.31443466
FL,Florida,2004,833946.8,33997.0,647041.8,5.25422005
FL,Florida,2005,883164.5,36624.7,704890.3,5.19580139
FL,Florida,2006,909298.9,39754.9,749925.0,5.30118345
FL,Florida,2007,922288.3,42437.2,781947.3,5.42711766
FL,Florida,2008,891766.9,39796.4,767357.8,5.18615957
FL,Florida,2009,840480.6,37657.9,739322.4,5.09356946
FL,Florida,2010,851956.4,36510.2,752998.4,4.84864244
FL,Florida,2011,849395.3,35620.6,761043.1,4.68049707
FL,Florida,2012,857861.3,36486.9,784545.9,4.65070304
FL,Florida,2013,880183.5,39906.5,819679.8,4.86854745
FL,Florida,2014,905648.5,42088.2,860112.6,4.89333606
FL,Florida,2015,945929.0,47701.5,918464.3,5.19361504
FL,Florida,2016,978989.7,48973.6,964500.8,5.07761113
FL,Florida,2017,1014866.9,49925.9,1014866.9,4.91945298
FL,Florida,2018,1050433.8,52847.7,1072085.6,4.92942914
FL,Florida,2019,1084913.9,54402.5,1133718.0,4.79859189
FL,Florida,2020,1069758.8,55801.7,1142004.4,4.88629466
FL,Florida,2021,1170526.3,62206.6,1298631.2,4.79016675
FL,Florida,2022,1239883.6,71112.0,1465281.1,4.85313023
FL,Florida,2023,1292787.6,77603.8,1600810.6,4.84778149
GA,Georgia,2000,417713.5,45585.8,305323.7,14.93031822
GA,Georgia,2001,422731.6,45152.9,316872.7,14.24953933
GA,Georgia,2002,427329.7,44621.9,326017.9,13.68694786
GA,Georgia,2003,439074.6,43079.6,339540.5,12.68761753
GA,Georgia,2004,461245.4,45808.2,364530.1,12.56636969
GA,Georgia,2005,480838.3,46259.6,388707.2,11.90088581
GA,Georgia,2006,487524.9,45961.8,405664.2,11.33001137
GA,Georgia,2007,492238.7,47014.4,419384.8,11.21032522
GA,Georgia,2008,481860.3,44712.2,416303.5,10.74028924
GA,Georgia,2009,464016.8,45022.2,409876.2,10.98434113
GA,Georgia,2010,471588.2,45315.8,419013.1,10.81488860
GA,Georgia,2011,481215.4,47239.0,433137.1,10.90624654
GA,Georgia,2012,489027.3,48385.2,449375.6,10.76720676
GA,Georgia,2013,499900.2,49886.9,467559.5,10.66963670
GA,Georgia,2014,517511.9,52164.1,493370.3,10.57301179
GA,Georgia,2015,540108.5,54943.1,525516.8,10.45506062
GA,Georgia,2016,561718.3,57901.7,554903.2,10.43455868
GA,Georgia,2017,583543.3,59317.1,583543.3,10.16498690
GA,Georgia,2018,600934.7,59291.5,612803.4,9.67545219
GA,Georgia,2019,620744.9,61476.2,646695.8,9.50620060
GA,Georgia,2020,604745.9,62830.2,640223.6,9.81379006
GA,Georgia,2021,643013.8,67954.8,705546.7,9.63150986
GA,Georgia,2022,665678.1,74960.9,779684.0,9.61426681
GA,Georgia,2023,678201.2,82552.5,831827.7,9.92423070
HI,Hawaii,2000,60745.7,826.8,41089.4,2.01219779
HI,Hawaii,2001,60446.4,928.1,42500.2,2.18375443
HI,Hawaii,2002,62355.2,980.4,44949.5,2.18111436
HI,Hawaii,2003,65623.7,1083.3,48420.7,2.23726629
HI,Hawaii,2004,69332.0,1058.5,52625.7,2.01137467
HI,Hawaii,2005,72941.9,1143.6,57211.8,1.99888834
HI,Hawaii,2006,74892.9,1187.1,60848.0,1.95092690
HI,Hawaii,2007,76434.1,1207.9,64106.0,1.88422301
HI,Hawaii,2008,76830.2,1374.0,65545.5,2.09625375
HI,Hawaii,2009,74118.5,1327.7,64464.3,2.05958957
HI,Hawaii,2010,76130.2,1262.2,66739.3,1.89123949
HI,Hawaii,2011,77174.2,1277.4,68801.1,1.85665636
HI,Hawaii,2012,78694.0,1347.7,71645.6,1.88106457
HI,Hawaii,2013,80534.9,1395.9,74598.5,1.87121725
HI,Hawaii,2014,81304.9,1628.9,77043.0,2.11427385
HI,Hawaii,2015,83857.6,1608.3,81410.2,1.97555098
HI,Hawaii,2016,85670.4,1537.4,84287.2,1.82400175
HI,Hawaii,2017,87436.4,1565.9,87436.4,1.79090173
HI,Hawaii,2018,88836.4,1700.7,90933.5,1.87026783
HI,Hawaii,2019,88855.2,1459.5,93240.2,1.56531196
HI,Hawaii,2020,79840.1,1319.2,84885.8,1.55408796
HI,Hawaii,2021,84408.5,1495.1,93400.4,1.60074261
HI,Hawaii,2022,86887.8,1795.5,103153.1,1.74061662
HI,Hawaii,2023,88614.3,1880.2,110265.4,1.70515864
ID,Idaho,2000,49793.0,7624.8,38344.1,19.88519746
