state_fips,state_abbr,state_name,year,value,variable,source_family,missing_status
01,AL,Alabama,2000,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2001,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2002,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2003,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2004,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2005,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2006,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2007,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2008,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2009,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2010,9.721574269210816,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2011,6.794188685811091,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2012,9.043728791555084,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2013,5.31845591463056,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2014,7.55720711032567,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2015,7.183591200907774,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2016,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2017,7.275669548034297,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2018,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2019,9.046351047988384,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2020,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
01,AL,Alabama,2021,7.900686276627845,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,OBSERVED
01,AL,Alabama,2022,,civic_public_meeting,CPS Civic Engagement/Volunteering supplements,MISSING
