state_fips,state_abbr,state_name,year,value,variable,source_family,missing_status
01,AL,Alabama,2000,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2001,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2002,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2003,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2004,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2005,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2006,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2007,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2008,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2009,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2010,26.26576366257258,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
01,AL,Alabama,2011,24.84880975099884,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
01,AL,Alabama,2012,23.84249970211102,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
01,AL,Alabama,2013,24.62763042939807,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
01,AL,Alabama,2014,23.9216397166405,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
01,AL,Alabama,2015,21.57447937456246,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
01,AL,Alabama,2016,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2017,27.39893930988452,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
01,AL,Alabama,2018,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2019,25.76427111044703,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
01,AL,Alabama,2020,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2021,19.54344782108097,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
01,AL,Alabama,2022,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
01,AL,Alabama,2023,17.10345775945247,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
02,AK,Alaska,2000,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2001,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2002,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2003,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2004,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2005,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2006,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2007,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2008,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2009,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2010,29.07015825761961,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
02,AK,Alaska,2011,33.4783654960116,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
02,AK,Alaska,2012,36.86147508064381,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
02,AK,Alaska,2013,32.00632159180991,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
02,AK,Alaska,2014,34.20959471518867,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
02,AK,Alaska,2015,31.3073838915437,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
02,AK,Alaska,2016,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2017,40.62279129420494,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
02,AK,Alaska,2018,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2019,35.4590991135773,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
02,AK,Alaska,2020,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2021,27.29988342410172,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
02,AK,Alaska,2022,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
02,AK,Alaska,2023,31.43843886242381,volunteer_rate,CPS Volunteering/Civic Engagement supplements,OBSERVED
04,AZ,Arizona,2000,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
04,AZ,Arizona,2001,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
04,AZ,Arizona,2002,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
04,AZ,Arizona,2003,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
04,AZ,Arizona,2004,,volunteer_rate,CPS Volunteering/Civic Engagement supplements,MISSING
